	опыт работы	возраст	образование	язык	желаемая з/п	Последнее место работы	пол_Мужчина	волонтерство	полная	проектная	стажировка	частичная	регион_Москва	регион_Санкт-Петербург
121	18.0	39.0	1	1	25000.0	1.0	1	0	1	0	0	0	0	0
122	4.0	27.0	0	0	220000.0	1.0	1	0	1	0	0	0	1	0
123	10.0	41.0	1	0	170000.0	1.0	1	0	1	1	0	1	0	0
124	5.0	35.0	0	0	100000.0	1.0	1	0	1	1	1	1	1	0
125	15.0	38.0	0	0	35000.0	1.0	1	0	1	0	0	0	0	0
126	9.0	32.0	1	0	20000.0	1.0	1	0	0	1	1	1	0	0
127	7.0	28.0	0	1	50000.0	1.0	1	0	1	0	0	0	0	0
128	12.0	35.0	1	0	60000.0	1.0	1	0	1	0	0	0	1	0
129	17.0	37.0	1	0	70000.0	1.0	1	0	1	0	0	0	0	0
130	7.0	40.0	1	0	50000.0	1.0	1	0	0	0	0	1	1	0
131	14.0	38.0	1	0	120000.0	1.0	1	0	1	0	1	1	0	1
132	12.0	54.0	1	0	60000.0	1.0	1	0	1	1	0	1	0	0
133	17.0	39.0	1	0	35000.0	1.0	1	0	1	0	0	0	0	0
134	12.0	38.0	1	1	90000.0	1.0	1	0	1	0	0	0	0	0
135	7.0	28.0	1	0	30000.0	1.0	0	0	1	0	0	0	0	0
136	14.0	35.0	1	0	17000.0	1.0	0	0	1	0	0	0	0	0
137	19.0	39.0	1	1	50000.0	1.0	1	0	0	1	0	0	1	0
138	16.0	36.0	1	0	150000.0	1.0	1	0	1	0	0	0	0	0
139	9.0		0	1	50000.0	1.0	1	0	1	1	0	1	0	0
140	21.0	56.0	0	1	100000.0	1.0	1	0	1	0	0	0	1	0
141	12.0	33.0	1	0	150000.0	1.0	1	0	1	1	0	1	0	1
142	4.0	26.0	1	0	200000.0	1.0	1	0	1	0	0	0	1	0
143	33.0	61.0	1	1	70000.0	1.0	1	0	1	1	0	1	0	0
144	14.0		0	0	183260.0	0.0	1	0	1	0	0	0	0	0
145	3.0	36.0	1	0	250000.0	1.0	1	0	1	0	0	0	0	0
146	9.0	32.0	1	0	100000.0	1.0	1	0	1	1	1	1	0	0
147	11.0	41.0	1	1	137445.0	1.0	1	0	1	0	0	1	0	0
148	5.0	25.0	0	1	366520.0	1.0	1	0	1	1	1	1	0	0
149	3.0	23.0	0	0	80000.0	1.0	1	0	1	1	0	1	0	0
150	22.0	57.0	1	0	10000.0	1.0	1	0	1	0	0	1	0	1
151	29.0	51.0	1	0	100000.0	1.0	1	0	1	1	1	1	1	0
152	5.0	30.0	1	0	200000.0	1.0	1	0	1	0	0	0	0	0
153	50.0	76.0	1	1	40000.0	1.0	1	0	1	0	0	0	1	0
154	11.0	32.0	1	0	20000.0	1.0	1	0	0	1	0	1	0	1
155	3.0		1	0	70000.0	1.0	1	0	1	1	1	1	0	0
156	11.0	32.0	1	1	250000.0	1.0	0	0	1	0	0	1	1	0
157	13.0	36.0	0	0	110000.0	1.0	1	0	1	0	0	0	0	1
158	9.0	31.0	0	0	120000.0	1.0	1	0	1	0	0	0	0	0
159	4.0	25.0	0	0	100000.0	1.0	0	0	1	0	0	0	0	0
